section,total_km,surface_stats,highway_stats,num_steps,num_bridges,num_fords,with_sac,with_trail_visibility
SAT Lidö,15.441563534464562,"{'compacted': 5744.345151421245, 'grass': 1408.6105214983236, 'gravel': 1089.0912500840411, 'ground': 2151.6982529676766, 'rock': 346.39139238493885, 'unpaved': 4701.426966108336}","{'footway': 2704.430805357739, 'path': 8534.447391603699, 'track': 4202.685337503123}",0,0,0,24,22
SAT Möja,19.28157233930023,"{'asphalt': 115.63838240380556, 'compacted': 19165.933956896424}","{'path': 1109.199922673375, 'service': 539.550271723587, 'tertiary': 17632.822144903268}",0,0,0,8,6
SAT Nämdö,23.343542614688307,"{'compacted': 1822.004530240578, 'compacted;rock': 1415.2602244736893, 'grass': 832.5657393725248, 'gravel': 16883.025029367996, 'ground': 741.6393473641602, 'rock': 47.028530977535574, 'unknown': 1585.2866270959971, 'wood': 16.732585795828196}","{'footway': 47.028530977535574, 'path': 4999.4866307792945, 'service': 2686.382979259208, 'track': 8862.238421443626, 'unclassified': 6748.4060522286445}",0,2,0,14,23
SAT Nåttarö,16.12165819596411,"{'compacted': 351.49698559601836, 'dirt': 1035.3977999259585, 'grass': 35.677896805251365, 'gravel': 4107.985358838234, 'ground': 6545.934815948219, 'rock': 1624.4206713008505, 'sand': 708.3092598631716, 'unknown': 1712.4354076864045}","{'path': 9524.9221837775, 'track': 6596.736012186608}",0,0,0,24,18
SAT Ornö,58.82342372111555,"{'asphalt': 8604.294507120543, 'compacted': 22582.029758647594, 'compacted;rocky': 595.4872633260293, 'dirt': 4171.812456596333, 'grass': 6305.76179943536, 'gravel': 8880.469493330891, 'ground': 3986.963210803578, 'unknown': 731.8853813929557, 'unpaved': 2715.9531277159676, 'wood': 248.76672274630386}","{'footway': 1341.735707879517, 'path': 26963.964900619903, 'residential': 4758.974215308098, 'service': 4060.1139249428, 'tertiary': 6393.33602493708, 'track': 6408.15742428398, 'unclassified': 8897.141523144179}",0,1,0,62,72
SAT Runmarö,33.65947424710176,"{'cement': 25.14451377765735, 'compacted': 9392.373538548834, 'compacted;grass': 1110.1154528491404, 'grass': 202.7288934680615, 'gravel': 8438.682686061913, 'ground': 1452.1335780210052, 'unknown': 6268.806387464623, 'unpaved': 6769.489196910517}","{'footway': 3227.276039686249, 'path': 5617.085534675111, 'residential': 7142.88378090888, 'tertiary': 4592.267236823844, 'track': 7937.682591586714, 'unclassified': 5142.279063420954}",0,0,0,25,37
SAT Rånö,20.553731386240823,"{'compacted': 51.80251905679779, 'forest_floor': 1041.0138941305552, 'grass': 2112.1588582005143, 'gravel': 13236.342961538407, 'ground': 2614.5326205327347, 'unknown': 1497.8805327818116}","{'path': 7317.388424702413, 'track': 6413.102738579145, 'unclassified': 6823.240222959261}",0,0,0,12,15
SAT Sandhamn,13.858533657093526,"{'compacted': 6356.565714452606, 'dirt': 3206.7061359389736, 'gravel': 1065.6195135515375, 'sand': 256.8119457526021, 'unpaved': 2796.677378301204, 'wood': 176.15296909660066}","{'footway': 1210.2559738015727, 'path': 7584.790912163902, 'residential': 2233.587100128817, 'service': 1869.3597800329203, 'track': 960.5398909663126}",0,0,0,32,30
SAT Svartsö,28.540284935077636,"{'compacted': 7522.763813663426, 'gravel': 17704.485675172284, 'unknown': 3313.0354462419255}","{'path': 3150.918620575673, 'track': 12222.397845263096, 'unclassified': 13166.968469238867}",0,0,0,24,37
SAT Utö,32.21400345856679,"{'asphalt': 63.97161732567113, 'compacted': 5825.695431294914, 'dirt': 297.9114542405418, 'grass': 850.6090113163124, 'gravel': 5921.115064872514, 'ground': 10025.60820550805, 'ground,rock': 1984.5663708058707, 'pebblestone': 70.16060061528813, 'unknown': 7043.152468206964, 'wood': 131.21323438066227}","{'footway': 3047.7220535920837, 'path': 20058.91386123582, 'residential': 1098.6876236328405, 'steps': 55.2704370916829, 'tertiary': 1815.3600308320185, 'track': 1256.626161539337, 'unclassified': 4881.423290643008}",1,0,0,37,40
SAT Yxlan,40.61616620979292,"{'asphalt': 3633.616245471633, 'compacted': 10260.112905251473, 'fine_gravel': 2736.68372435712, 'grass': 604.2310002513882, 'gravel': 7309.637082035149, 'gravel;rock': 146.44194695543982, 'ground': 1898.5551994856423, 'rock': 106.87864148849839, 'unknown': 12459.334759690631, 'unpaved': 1460.6747048059483}","{'path': 18046.016404236387, 'residential': 9809.798409167859, 'service': 399.63666142328833, 'steps': 21.88085900294943, 'tertiary': 3633.616245471633, 'track': 1596.4491807056024, 'unclassified': 7108.768449785206}",1,0,0,57,59
SAT Ålö,23.65377022449047,"{'gravel': 3796.6015268842357, 'ground': 7481.969727710338, 'ground;rock': 12375.198969895899}","{'path': 19079.521628002603, 'track': 1057.565417786578, 'unclassified': 3516.683178701291}",0,0,0,19,18
Öjaleden,10.951287261134114,"{'compacted': 4768.007193331349, 'grass': 338.1037713081705, 'gravel': 131.79326675399363, 'ground': 2106.4711692533187, 'ground,rock': 1017.8043580332167, 'rock': 1643.3203888289838, 'unhewn_cobblestone': 31.939646021315326, 'unknown': 913.8474676037646}","{'path': 6051.48680104877, 'track': 4899.800460085343}",0,0,0,19,11
